Estrutura armazenamento   | Quantidade pessoas        | Quantidade buscas         | Tempo percorrido (Seg)    | Tempo percorrido (Ms)     | Data de execução         
ARRAY_LIST                | 2500000                   | 20000                     | 0.580294501               | 580.294501                | 14:57:19.718077300       
ARRAY_LIST                | 5000000                   | 20000                     | 0.9297061                 | 929.7061                  | 14:57:20.648918300       
ARRAY_LIST                | 10000000                  | 20000                     | 1.911825001               | 1911.825001               | 14:57:22.561428500       
HASH_MAP                  | 2500000                   | 20000                     | 0.6909831000000001        | 690.9831                  | 14:57:23.254064700       
HASH_MAP                  | 5000000                   | 20000                     | 1.2528867                 | 1252.8867                 | 14:57:24.507644300       
HASH_MAP                  | 10000000                  | 20000                     | 2.1641288                 | 2164.1288                 | 14:57:26.672919200       
ARRAY_LIST                | 2500000                   | 20000                     | 0.567844601               | 567.844601                | 14:59:43.668229700       
ARRAY_LIST                | 5000000                   | 20000                     | 1.030272101               | 1030.272101               | 14:59:44.700806500       
ARRAY_LIST                | 10000000                  | 20000                     | 1.6673253                 | 1667.3253                 | 14:59:46.368407500       
HASH_MAP                  | 2500000                   | 20000                     | 0.6820167                 | 682.0167                  | 14:59:47.052101100       
HASH_MAP                  | 5000000                   | 20000                     | 1.159084301               | 1159.084301               | 14:59:48.211330          
HASH_MAP                  | 10000000                  | 20000                     | 1.991140001               | 1991.140001               | 14:59:50.203712900       
ARRAY_LIST                | 2500000                   | 20000                     | 3.6821476                 | 3682.1476                 | 15:04:09.001546200       
ARRAY_LIST                | 5000000                   | 20000                     | 7.285494399999999         | 7285.4944                 | 15:04:16.288407700       
ARRAY_LIST                | 10000000                  | 20000                     | 13.914877                 | 13914.877                 | 15:04:30.204283100       
HASH_MAP                  | 2500000                   | 20000                     | 3.6506529                 | 3650.6529                 | 15:04:33.856456300       
HASH_MAP                  | 5000000                   | 20000                     | 7.116776300000001         | 7116.7763                 | 15:04:40.973810500       
HASH_MAP                  | 10000000                  | 20000                     | 14.3985912                | 14398.5912                | 15:04:55.372712400       
